FID_,field_1,number,address,Tiger,X4,X5,long,lat,X7,X8,optional,Key,NEAR_FID,NEAR_DIST
,1.000000000000000,19.000000000000000,"1935 Bohemian Hwy, Occidental, CA, 95465",No_Match,NA,NA,-122.931653999999990,38.389173000000000,-122.931654,NA,TRUE,OCC01,1,0.194485974087000
,2.000000000000000,17.000000000000000,"478 Noonan Ranch Ln, Larkfield-Wikiup, CA, 95403",No_Match,NA,NA,-122.762199000000000,38.504246999999999,NA,NA,TRUE,LKW01,1,0.011971011962000
,3.000000000000000,22.000000000000000,"4993 Occidental Rd, Santa Rosa, CA, 95401",No_Match,NA,NA,-122.795586000000000,38.424272000000002,NA,NA,TRUE,SRO01,1,0.061649914548200
,4.000000000000000,23.000000000000000,"198 Ely Rd N, Petaluma, CA, 94954",No_Match,NA,NA,-122.661661000000000,38.278485000000003,NA,NA,TRUE,PTL01,2,0.141969614586000
,5.000000000000000,18.000000000000000,"301 Steele Ln, Santa Rosa, CA, 95403",Match,Exact,"301 STEELE LN, SANTA ROSA, CA, 95403",-122.720400000000000,38.460484000000001,67485380,R,TRUE,SRO02,1,0.010413190360400
,6.000000000000000,24.000000000000000,"1422 Forestview Dr, Santa Rosa, CA, 95401",Match,Exact,"1422 FORESTVIEW DR, SANTA ROSA, CA, 95401",-122.775460000000000,38.454853000000000,67517275,R,TRUE,SRO03,1,0.026253845387500
,7.000000000000000,15.000000000000000,"459 Sequoia Ln, Sebastopol, CA, 95472",Match,Exact,"459 SEQUOIA LN, SEBASTOPOL, CA, 95472",-122.839990000000000,38.404736000000000,624288304,L,TRUE,SBP01,1,0.107909942252000
,8.000000000000000,25.000000000000000,"8657 Lancaster Dr, Rohnert Park, CA, 94928",Match,Exact,"8657 LANCASTER DR, ROHNERT PARK, CA, 94928",-122.690320000000000,38.324100000000001,67473166,R,TRUE,ROH01,2,0.104360068811000
,9.000000000000000,16.000000000000000,"8511 Liman Way, Rohnert Park, CA, 94928",Match,Exact,"8511 LIMAN WAY, ROHNERT PARK, CA, 94928",-122.691760000000000,38.324818000000000,67473153,R,TRUE,ROH02,2,0.104285361680000
,10.000000000000000,26.000000000000000,"885 Wildwood Trail, Santa Rosa, CA, 95409",Match,Exact,"885 WILDWOOD TRL, SANTA ROSA, CA, 95409",-122.625114000000000,38.463940000000001,67508691,L,TRUE,SRO04,2,0.033314222503500
,11.000000000000000,13.000000000000000,"901 Adele Dr, Windsor, CA, 95492",Match,Exact,"901 ADELE DR, WINDSOR, CA, 95492",-122.807170000000000,38.552208000000000,67519705,L,TRUE,WND01,1,0.071883961788200
,12.000000000000000,27.000000000000000,"6177 Sonoma Hwy, Santa Rosa, CA, 95409",Match,Exact,"6177 SONOMA HWY, SANTA ROSA, CA, 95409",-122.621750000000010,38.453049999999998,604961654,L,TRUE,SRO05,2,0.022216271668800
,13.000000000000000,14.000000000000000,"1225 Fulton Rd, Santa Rosa, CA, 95401",Match,Exact,"1225 FULTON RD, SANTA ROSA, CA, 95401",-122.769560000000000,38.448532000000000,67497408,L,TRUE,SRO06,1,0.026288617459800
,14.000000000000000,28.000000000000000,"6024 Fredricks Rd, Sebastopol, CA, 95472",Match,Exact,"6024 FREDRICKS RD, SEBASTOPOL, CA, 95472",-122.799310000000010,38.372486000000002,67466209,R,TRUE,SBP02,1,0.107182505078000
,15.000000000000000,11.000000000000000,"651 Airport Blvd, Santa Rosa, CA, 95407",Match,Non_Exact,"651 AIRPORT BLVD, SANTA ROSA, CA, 95403",-122.774610000000000,38.511105000000001,67530102,R,TRUE,SRO07,1,0.025480766672900
,16.000000000000000,29.000000000000000,"245 Mountain View Ave, Santa Rosa, CA,",Match,Exact,"245 MOUNTAIN VIEW AVE, SANTA ROSA, CA, 95407",-122.704200000000000,38.379387000000001,67471958,L,TRUE,SRO08,2,0.068558783647200
,17.000000000000000,12.000000000000000,"7450 Bodega Ave, Sebastopol, CA, 95472",Match,Exact,"7450 BODEGA AVE, SEBASTOPOL, CA, 95472",-122.828064000000000,38.400170000000003,67465121,R,TRUE,SBP03,1,0.101680714007000
,18.000000000000000,3.000000000000000,"1764 Cooper Rd, Sebastopol, CA, 95472",No_Match,NA,NA,-122.801047000000000,38.386102000000001,NA,NA,TRUE,SBP04,1,0.095888515664000
,19.000000000000000,21.000000000000000,"1001 McNear Ave, Petaluma, CA, 94952",Match,Exact,"1001 MCNEAR AVE, PETALUMA, CA, 94952",-122.626330000000000,38.220923999999997,67516657,R,TRUE,PTL02,0,0.162844627110000
,20.000000000000000,2.000000000000000,"11871 Bodega Hwy, Sebastopol, CA, 95472",Match,Exact,"11871 BODEGA HWY, SEBASTOPOL, CA, 95472",-122.897340000000000,38.379494000000001,67507037,R,TRUE,SBP05,1,0.169386770615000
,21.000000000000000,20.000000000000000,"12295 Old Redwood Hwy, Healdsburg, CA, 95448",Match,Exact,"12295 OLD REDWOOD HWY, HEALDSBURG, CA, 95448",-122.846725000000010,38.583744000000003,67462260,L,TRUE,HLD01,1,0.122314875855000
,22.000000000000000,1.000000000000000,"4588 Bodega Ave, Petaluma, CA, 94952",Match,Exact,"4588 BODEGA AVE, PETALUMA, CA, 94952",-122.700689999999990,38.252895000000002,67490564,L,TRUE,PTL03,2,0.174837004410000
,23.000000000000000,10.000000000000000,"7905 Valentine Ave, Sebastopol, CA, 95472",Match,Exact,"7905 VALENTINE AVE, SEBASTOPOL, CA, 95472",-122.837090000000000,38.402251999999997,67464765,L,TRUE,SBP06,1,0.107143851437000
,24.000000000000000,7.000000000000000,"1717 Yulupa Ave, Santa Rosa, CA, 95405",Match,Exact,"1717 YULUPA AVE, SANTA ROSA, CA, 95405",-122.670970000000000,38.438740000000003,67474624,R,TRUE,SRO09,2,0.027941123771900
,25.000000000000000,6.000000000000000,"1632 West Ave, Santa Rosa, CA, 95407",Match,Exact,"1632 WEST AVE, SANTA ROSA, CA, 95407",-122.727890000000000,38.420914000000003,617173845,L,TRUE,SRO10,1,0.050119234065900
,26.000000000000000,5.000000000000000,"55 Shasta Ave, Petaluma, CA, 94952",Match,Exact,"55 SHASTA AVE, PETALUMA, CA, 94952",-122.643980000000000,38.246876000000000,67477248,L,TRUE,PTL04,0,0.154963994631000
,27.000000000000000,4.000000000000000,"4250 Bones Rd, Sebastopol, CA, 95472",Match,Exact,"4250 BONES RD, SEBASTOPOL, CA, 95472",-122.908540000000000,38.443446999999999,605055914,L,TRUE,SBP07,1,0.155127980332000
,28.000000000000000,9.000000000000000,"1425 Sunrise Parkway, Petaluma, CA,",No_Match,NA,NA,-122.642107000000000,38.261111000000000,NA,NA,TRUE,PTL05,0,0.144123440495000
,29.000000000000000,8.000000000000000,"1075 Madrone Ave, Cotati, CA, 94931",Match,Exact,"1075 MADRONE AVE, COTATI, CA, 94931",-122.728020000000000,38.329875999999999,639987181,R,TRUE,COT01,2,0.119850627517000
